s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c1,c2,c3,pred,mse,score
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s1,0.7007647577500145,0.2537181958626953
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s2,0.8909811630043475,-0.07297852345360334
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s3,0.7648946453879417,0.15780936260060596
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s4,1.043212780645439,0.10821164080519308
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s5,0.725964956467575,0.06571791770138768
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s6,0.8932471762125586,0.01592612837104701
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s7,0.8712647053971321,0.20815766715532258
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s8,0.9018634885326805,0.05412334120657003
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s9,0.6474977212436561,0.21654022938176087
y,n,n,n,n,n,n,n,n,n,n,n,n,n,qc,1.291938262502655,-0.10835468446656349
y,n,n,n,n,n,n,n,n,n,n,n,n,n,c1,1.1767430600596238,-0.13177560594464865
y,n,n,n,n,n,n,n,n,n,n,n,n,n,c2,1.1344103471083755,-0.06709767828338764
y,n,n,n,n,n,n,n,n,n,n,n,n,n,c3,0.7327519740611015,-0.18409771251761578
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s0,0.693176459108091,0.17578176605424212
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s2,1.1101100214714261,-0.03327646746243973
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s3,0.9163225713440343,-0.14602179271205773
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s4,0.7871378330037938,-0.01602130740191421
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s5,1.0839623965903966,0.004022020507060464
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s6,1.2176036697517525,-0.045053078093666876
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s7,0.8226730872595447,-0.025228164676339038
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s8,0.9089078692169357,-0.4135939121165833
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s9,0.972335133054242,0.12894101657204304
n,y,n,n,n,n,n,n,n,n,n,n,n,n,qc,1.1365321886813335,-0.37229278804895793
n,y,n,n,n,n,n,n,n,n,n,n,n,n,c1,1.0131421348462952,-0.04536170060515343
n,y,n,n,n,n,n,n,n,n,n,n,n,n,c2,0.9088721444828841,0.08282055518041453
n,y,n,n,n,n,n,n,n,n,n,n,n,n,c3,1.223432206012942,-0.08118129655540929
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s0,0.8621665789719895,0.08786195667236596
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s1,1.0749842680198303,0.03856428260682332
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s3,1.062670675906003,-0.15151393530212665
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s4,0.6410136764391252,0.1860011004439044
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s5,1.0814224583935168,-0.029451204648855533
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s6,0.8005024433925055,0.32702489700571513
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s7,0.9683625172432314,-0.11085145676791885
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s8,0.9921039143971752,0.05091088236151109
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s9,1.0272417946896755,0.06205625234335277
n,n,y,n,n,n,n,n,n,n,n,n,n,n,qc,0.8494735266753901,-0.03788402369775423
n,n,y,n,n,n,n,n,n,n,n,n,n,n,c1,1.072597917276203,-0.2035452474350603
n,n,y,n,n,n,n,n,n,n,n,n,n,n,c2,1.1241324799862862,-0.13440730927462408
