s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c1,c2,c3,pred,mse,score,numPredictors
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s1,0.701954514,0.304681647,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s2,0.676583272,0.234534826,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s3,0.868853256,0.016959998,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s4,0.906914684,-0.022543914,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s5,0.830477373,0.102151912,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s6,0.929821968,-0.036746708,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s7,0.853185014,0.032073487,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s8,0.66060087,-0.027410368,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,s9,0.473799553,0.267713732,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,qc,1.061301498,-0.029252652,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,c1,0.586508279,0.429064376,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,c2,0.344118541,0.646001322,1
y,n,n,n,n,n,n,n,n,n,n,n,n,n,c3,0.923486765,0.05792302,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s0,0.685974794,0.36798855,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s2,0.962247869,-0.082758369,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s3,0.790514068,0.249834556,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s4,1.050142749,0.068850852,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s5,0.893377395,-0.118195028,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s6,0.787227685,-0.099477178,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s7,1.159191207,0.072531567,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s8,1.067953864,0.048970568,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,s9,0.886891494,0.053298279,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,qc,0.657723259,-0.219426987,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,c1,0.745139897,0.274644661,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,c2,1.026480781,0.035021854,1
n,y,n,n,n,n,n,n,n,n,n,n,n,n,c3,1.172658909,-0.110817569,1
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s0,0.967868125,-0.06663134,1
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s1,0.895915049,0.03226212,1
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s3,0.925062975,-0.017764192,1
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s4,0.845476956,0.023904588,1
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s5,0.993050535,-0.08529838,1
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s6,0.803598613,0.196263543,1
n,n,y,n,n,n,n,n,n,n,n,n,n,n,s7,1.303480159,-0.135715635,1
