t,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,u,c
2018/09/07 10:25:39 AM GMT+10,4,4,2,2,2,4,4,4,5,4,0,0
2018/09/07 10:25:59 AM GMT+10,4,4,2,4,1,1,3,4,5,5,1,0
2018/09/07 10:34:06 AM GMT+10,4,4,3,3,4,2,5,4,5,4,2,0
2018/09/07 10:36:41 AM GMT+10,5,5,5,3,4,4,3,4,5,5,3,0
2018/09/07 10:38:55 AM GMT+10,5,4,3,3,2,3,3,4,4,4,4,0
2018/09/07 10:39:31 AM GMT+10,5,3,4,4,4,2,3,5,5,5,2,2
2018/09/07 10:42:41 AM GMT+10,4,2,2,4,3,4,2,3,3,3,5,0
2018/09/07 10:47:25 AM GMT+10,5,4,4,4,3,2,3,5,5,4,6,0
2018/09/07 10:47:46 AM GMT+10,4,2,4,4,4,4,5,5,5,5,7,0
2018/09/07 10:48:02 AM GMT+10,4,5,1,2,3,3,3,4,4,4,8,0
2018/09/07 10:49:14 AM GMT+10,4,4,2,4,1,2,4,4,5,5,1,2
2018/09/07 10:52:35 AM GMT+10,4,3,4,4,4,3,3,4,5,5,9,0
2018/09/07 10:52:42 AM GMT+10,4,3,3,4,2,3,3,5,5,5,10,0
2018/09/07 10:52:54 AM GMT+10,4,2,4,4,2,2,2,2,5,5,11,0
2018/09/07 10:58:13 AM GMT+10,5,5,5,5,5,5,5,5,5,5,12,0
2018/09/07 10:58:43 AM GMT+10,5,5,2,5,2,3,2,4,5,5,13,0
2018/09/07 10:58:58 AM GMT+10,4,2,2,4,2,4,4,4,4,5,0,0
2018/09/07 10:59:18 AM GMT+10,4,2,3,4,2,2,4,4,4,2,14,0
2018/09/07 11:00:30 AM GMT+10,4,3,3,2,3,2,2,5,5,5,15,0
2018/09/07 11:01:08 AM GMT+10,5,5,5,5,5,5,5,5,5,5,16,0
2018/09/07 11:01:09 AM GMT+10,5,5,3,5,3,5,3,5,5,5,17,0
2018/09/07 11:01:26 AM GMT+10,4,3,3,3,3,1,1,4,5,5,18,0
2018/09/07 11:03:04 AM GMT+10,3,3,4,4,4,2,3,3,4,3,19,0
2018/09/07 11:06:03 AM GMT+10,4,4,2,4,1,4,2,4,5,5,1,1
2018/09/07 11:06:05 AM GMT+10,4,5,5,2,4,4,5,5,5,5,20,0
2018/09/07 11:07:59 AM GMT+10,2,2,4,4,4,4,4,5,4,4,21,0
2018/09/07 11:08:39 AM GMT+10,3,3,4,4,4,4,4,5,4,4,22,0
