t,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,q0,q1,q2,q3,a0,u,c
43350.46435,3,3,4,4,4,4,4,5,4,4,10,9,10,9,71.67,0,0
43350.51653,2,2,4,4,4,4,4,4,5,4,10,9,10,9,71.67,0,1
43350.53638,3,3,3,4,4,4,4,4,5,4,10,9,10,9,71.67,0,2
43350.46388,2,2,4,4,4,4,4,5,4,4,9,6,10,8,65,1,0
43350.4906,3,2,4,4,4,3,4,5,3,4,9,6,10,8,65,1,1
43350.53849,3,2,4,2,4,3,3,4,3,4,9,6,10,8,65,1,2
43350.45869,4,3,3,2,3,2,2,5,5,5,10,8,10,10,63.33,2,0
43350.47414,5,3,4,3,3,2,3,4,5,5,10,8,10,10,63.33,2,1
43350.45341,4,2,4,4,2,2,2,2,5,5,7,5,6,6,71.67,3,0
43350.48033,4,4,4,4,4,2,2,4,4,4,7,5,6,6,71.67,3,1
43350.43448,4,4,2,2,2,4,4,4,5,4,8,7,8,5,71.67,4,0
43350.45763,4,2,2,4,2,4,4,4,4,5,8,7,8,5,71.67,4,0
43350.44984,4,2,4,4,4,4,5,5,5,5,10,8,10,6,83.33,5,0
43350.48816,3,2,4,1,4,2,4,2,3,2,10,8,10,6,83.33,5,1
43350.52634,3,1,5,2,4,3,3,2,3,3,10,8,10,6,83.33,5,2
43350.45933,4,3,3,3,3,1,1,4,5,5,9,10,10,9,90,6,0
43350.46876,4,4,2,2,3,2,2,4,5,5,9,10,10,9,90,6,1
43350.4983,5,5,1,3,3,1,1,4,5,5,9,10,10,9,90,6,2
43350.46047,3,3,4,4,4,2,3,3,4,3,10,10,10,10,68.33,7,0
43350.48949,3,4,4,4,4,3,4,4,3,3,10,10,10,10,68.33,7,1
43350.53856,3,4,3,4,4,3,3,4,4,3,10,10,10,10,68.33,7,2
43350.45786,4,2,3,4,2,2,4,4,4,2,10,8,10,8,63.33,8,0
43350.48732,3,1,3,3,3,4,4,4,3,2,10,8,10,8,63.33,8,1
43350.45914,5,5,3,5,3,5,3,5,5,5,9,10,7,10,30,9,0
43350.48763,5,4,4,5,5,5,5,5,5,5,9,10,7,10,30,9,1
43350.44632,4,2,2,4,3,4,2,3,3,3,10,10,8,9,35,10,0
43350.48748,3,3,4,4,2,3,4,4,4,4,10,10,8,9,35,10,1
43350.44036,4,4,3,3,4,2,5,4,5,4,7,6,6,10,63.33,11,0
43350.44412,5,3,4,4,4,2,3,5,5,5,7,6,6,10,63.33,11,1
43350.46879,5,4,4,4,4,2,4,5,5,5,7,6,6,10,63.33,11,2
43350.48739,5,4,4,4,4,4,5,5,4,4,7,6,6,10,63.33,11,1
43350.46256,4,5,5,2,4,4,5,5,5,5,9,10,9,10,61.67,12,0
43350.47767,4,2,1,2,4,2,1,3,3,2,9,10,9,10,61.67,12,1
43350.52482,5,4,4,4,4,5,4,5,5,5,9,10,9,10,61.67,12,2
43350.4437,5,4,3,3,2,3,3,4,4,4,10,10,10,10,60,13,0
