11
u,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score
+,-,-,-,-,-,-,-,-,-,-,-,s0,0.33033939264840734,0.5965955809006991
+,-,-,-,-,-,-,-,-,-,-,-,s1,0.7821692046331664,0.022460562718300103
+,-,-,-,-,-,-,-,-,-,-,-,s2,0.8204658250709318,0.3202712731753006
+,-,-,-,-,-,-,-,-,-,-,-,s3,1.1194199461206713,0.20903782177570573
+,-,-,-,-,-,-,-,-,-,-,-,s4,0.7379196544421806,0.2114885740782867
+,-,-,-,-,-,-,-,-,-,-,-,s5,0.771460284200343,0.16908877464184968
+,-,-,-,-,-,-,-,-,-,-,-,s6,0.6673188298742734,0.18516828176588196
+,-,-,-,-,-,-,-,-,-,-,-,s7,0.8842695276316046,0.21286384337244613
+,-,-,-,-,-,-,-,-,-,-,-,s8,0.3538064421284942,0.5348965065192745
+,-,-,-,-,-,-,-,-,-,-,-,s9,1.1022011549781983,-0.08213644812047005
+,-,-,-,-,-,-,-,-,-,-,-,qc,0.08196474850720054,0.9081431847005283
-,+,-,-,-,-,-,-,-,-,-,-,user,1.1067065307939965,-0.06527594399415346
-,+,-,-,-,-,-,-,-,-,-,-,s1,0.620017799020697,-0.0036880079704844078
-,+,-,-,-,-,-,-,-,-,-,-,s2,0.7852613934069952,0.250040787316934
-,+,-,-,-,-,-,-,-,-,-,-,s3,1.2265871769791208,0.08845591386620533
-,+,-,-,-,-,-,-,-,-,-,-,s4,1.0264323046374535,0.06519325610366056
-,+,-,-,-,-,-,-,-,-,-,-,s5,1.119963857578072,0.005092900471856954
-,+,-,-,-,-,-,-,-,-,-,-,s6,0.8292119092046218,-0.02609113258511342
-,+,-,-,-,-,-,-,-,-,-,-,s7,0.9343952725580266,0.1682442053813531
-,+,-,-,-,-,-,-,-,-,-,-,s8,0.6019083799725983,0.19783522422167
-,+,-,-,-,-,-,-,-,-,-,-,s9,0.7764662622689954,0.3402587359560273
-,+,-,-,-,-,-,-,-,-,-,-,qc,1.4865920396554948,0.011906834249249322
-,-,+,-,-,-,-,-,-,-,-,-,user,0.9014057465031262,-0.05280362973388295
-,-,+,-,-,-,-,-,-,-,-,-,s0,0.5374385407984066,0.3954321831323999
-,-,+,-,-,-,-,-,-,-,-,-,s2,0.9763641686944879,0.03600353162188119
-,-,+,-,-,-,-,-,-,-,-,-,s3,0.6669028473156012,0.3671365369619357
-,-,+,-,-,-,-,-,-,-,-,-,s4,0.9257779978670565,0.026242262976209796
-,-,+,-,-,-,-,-,-,-,-,-,s5,0.9795637134279672,0.02835159504760065
-,-,+,-,-,-,-,-,-,-,-,-,s6,1.7489948670550017,-0.4505388996008983
-,-,+,-,-,-,-,-,-,-,-,-,s7,0.9523629008127512,-0.08044244357165309
-,-,+,-,-,-,-,-,-,-,-,-,s8,1.1183881914869014,-0.1729683031284217
-,-,+,-,-,-,-,-,-,-,-,-,s9,0.8008135101321844,0.17557804640943786
-,-,+,-,-,-,-,-,-,-,-,-,qc,0.9495433415908071,-0.13156216762219808
-,-,-,+,-,-,-,-,-,-,-,-,user,1.181453428586129,-0.06163609210414737
-,-,-,+,-,-,-,-,-,-,-,-,s0,0.8077107087792929,0.07994848748340155
-,-,-,+,-,-,-,-,-,-,-,-,s1,1.0144066350142602,-0.13072728303923542
-,-,-,+,-,-,-,-,-,-,-,-,s3,0.8364670138222937,0.03844803302778854
-,-,-,+,-,-,-,-,-,-,-,-,s4,0.9961611920074777,-0.05904244532833669
-,-,-,+,-,-,-,-,-,-,-,-,s5,0.8085332359970703,0.022728562737468816
-,-,-,+,-,-,-,-,-,-,-,-,s6,0.8059871302089264,0.30540509793698256
-,-,-,+,-,-,-,-,-,-,-,-,s7,0.9817520861303463,0.10378085788322412
-,-,-,+,-,-,-,-,-,-,-,-,s8,0.6640258666569414,0.11505109720830664
-,-,-,+,-,-,-,-,-,-,-,-,s9,1.0087250929328413,-0.1035462780579337
-,-,-,+,-,-,-,-,-,-,-,-,qc,0.9842682872409046,0.00429420028404448
-,-,-,-,+,-,-,-,-,-,-,-,user,1.0035892356314933,-0.07251768507188536
-,-,-,-,+,-,-,-,-,-,-,-,s0,0.5750688891164859,0.38681408371852277
-,-,-,-,+,-,-,-,-,-,-,-,s1,0.9378043689889598,0.01572274580520716
-,-,-,-,+,-,-,-,-,-,-,-,s2,0.8195042432337223,-0.021113860749762736
-,-,-,-,+,-,-,-,-,-,-,-,s4,0.9703900003999875,-0.38151331732024635
-,-,-,-,+,-,-,-,-,-,-,-,s5,0.6216351410805049,0.16631743668108023
-,-,-,-,+,-,-,-,-,-,-,-,s6,0.8275412507188143,-0.028333675307230743
-,-,-,-,+,-,-,-,-,-,-,-,s7,0.9758475025596071,0.02710677225541669
-,-,-,-,+,-,-,-,-,-,-,-,s8,1.1255217450701578,0.007991283987614284
-,-,-,-,+,-,-,-,-,-,-,-,s9,1.0947252927705344,-0.30464777494219053
-,-,-,-,+,-,-,-,-,-,-,-,qc,1.070000037893493,-0.19737713578187166
-,-,-,-,-,+,-,-,-,-,-,-,user,1.0606891445183624,0.0069361459974761775
-,-,-,-,-,+,-,-,-,-,-,-,s0,0.9550567934088215,-0.14060849219206695
-,-,-,-,-,+,-,-,-,-,-,-,s1,0.8277806213325044,-0.3305202966401053
-,-,-,-,-,+,-,-,-,-,-,-,s2,0.7814032959164039,0.20454285764586067
-,-,-,-,-,+,-,-,-,-,-,-,s3,0.8737870363016591,0.2178543884217314
-,-,-,-,-,+,-,-,-,-,-,-,s5,0.9032577881749871,-0.013650725806231723
-,-,-,-,-,+,-,-,-,-,-,-,s6,1.0342174794258088,0.11234485642395187
-,-,-,-,-,+,-,-,-,-,-,-,s7,0.801320852643983,0.02645742323527145
-,-,-,-,-,+,-,-,-,-,-,-,s8,1.3007439338924016,0.0035354927012550834
-,-,-,-,-,+,-,-,-,-,-,-,s9,0.891387431183435,0.051909542085886384
-,-,-,-,-,+,-,-,-,-,-,-,qc,1.2172306234167927,-0.22616281441483643
-,-,-,-,-,-,+,-,-,-,-,-,user,1.0281107683805184,-0.053121339319352
-,-,-,-,-,-,+,-,-,-,-,-,s0,0.9270615112175045,-0.2677353914933569
