11
u,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score
+,-,-,-,-,-,-,-,-,-,-,-,s0,1.0774234639415081,0.035999940804135044
+,-,-,-,-,-,-,-,-,-,-,-,s1,0.8348015463963806,0.1929152098944812
+,-,-,-,-,-,-,-,-,-,-,-,s2,1.1542990584941106,0.0016615488640818743
+,-,-,-,-,-,-,-,-,-,-,-,s3,0.8015577543579638,0.23935455023191046
+,-,-,-,-,-,-,-,-,-,-,-,s4,0.37024870573824264,0.5220905941778291
+,-,-,-,-,-,-,-,-,-,-,-,s5,0.7977522359431222,-0.031296480622362344
+,-,-,-,-,-,-,-,-,-,-,-,s6,1.1985744594544705,-0.07041703692119716
+,-,-,-,-,-,-,-,-,-,-,-,s7,0.971766771143061,0.11289622474426554
+,-,-,-,-,-,-,-,-,-,-,-,s8,0.420365494421766,0.4445660968176445
+,-,-,-,-,-,-,-,-,-,-,-,s9,0.7504936260912669,0.19308944041753862
+,-,-,-,-,-,-,-,-,-,-,-,qc,0.7979675232158985,0.3630242523297915
-,+,-,-,-,-,-,-,-,-,-,-,user,1.0721243915692102,-0.08951385722382434
-,+,-,-,-,-,-,-,-,-,-,-,s1,0.9081268345144773,0.1797112359120977
-,+,-,-,-,-,-,-,-,-,-,-,s2,0.6842145877356828,0.10006223855749452
-,+,-,-,-,-,-,-,-,-,-,-,s3,0.5916630385149013,0.1963150566925883
-,+,-,-,-,-,-,-,-,-,-,-,s4,1.0514658101066583,-0.4455084638404587
-,+,-,-,-,-,-,-,-,-,-,-,s5,0.7152352992878342,-0.027873088011241887
-,+,-,-,-,-,-,-,-,-,-,-,s6,1.1602033993771574,0.016224030776479048
-,+,-,-,-,-,-,-,-,-,-,-,s7,1.1008540058562022,0.060731263624129624
-,+,-,-,-,-,-,-,-,-,-,-,s8,1.0526913302715586,0.21835148335529497
-,+,-,-,-,-,-,-,-,-,-,-,s9,1.5828613711097832,-0.23934193032490628
-,+,-,-,-,-,-,-,-,-,-,-,qc,0.8837058784569948,0.015905724099434915
-,-,+,-,-,-,-,-,-,-,-,-,user,0.9675631734700136,-0.034434892678941745
-,-,+,-,-,-,-,-,-,-,-,-,s0,0.6945447269203545,0.31592117012713583
-,-,+,-,-,-,-,-,-,-,-,-,s2,0.8399285789679216,-0.018717915127770768
-,-,+,-,-,-,-,-,-,-,-,-,s3,0.8586761925726116,0.27986811353017504
