u,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score
+,-,+,+,+,+,+,+,+,+,+,-,s0,0.59781853,0.411189827
-,-,+,+,+,+,-,-,-,-,-,-,s0,0.912574358,-0.099011266
-,-,-,-,-,-,+,+,+,+,-,-,s0,0.810266801,0.208903044
+,-,+,+,+,+,+,+,+,+,+,-,s9,3.18E-32,1
-,-,-,-,-,-,-,-,-,-,-,-,a0,0.979914109,0.053082542
-,-,-,-,-,-,-,-,-,-,-,+,q0,0.834417297,0.27075243
+,-,-,-,-,-,-,-,-,-,-,-,s0,0.811967467,0.094130547
+,-,-,-,-,-,-,-,-,-,-,-,s1,0.85238694,0.210028627
+,-,-,-,-,-,-,-,-,-,-,-,s2,0.493213369,0.092113204
+,-,-,-,-,-,-,-,-,-,-,-,s3,0.651287791,-0.312931717
+,-,-,-,-,-,-,-,-,-,-,-,s4,0.752257177,0.247375141
+,-,-,-,-,-,-,-,-,-,-,-,s5,0.680230911,0.131986726
+,-,-,-,-,-,-,-,-,-,-,-,s6,0.963637893,-0.006390099
+,-,-,-,-,-,-,-,-,-,-,-,s7,0.462709165,-6.045283978
+,-,-,-,-,-,-,-,-,-,-,-,s8,1.746450472,-0.02834836
+,-,-,-,-,-,-,-,-,-,-,-,s9,0.874557454,0.209884506
+,-,-,-,-,-,-,-,-,-,-,-,qc,0.583240942,0.501058561
-,+,-,-,-,-,-,-,-,-,-,-,user,1.076280692,-0.063693132
-,+,-,-,-,-,-,-,-,-,-,-,s1,0.914260646,0.089324943
-,+,-,-,-,-,-,-,-,-,-,-,s2,0.798449414,0.092999738
-,+,-,-,-,-,-,-,-,-,-,-,s3,0.870454968,-0.0202041
-,+,-,-,-,-,-,-,-,-,-,-,s4,0.621184662,0.14604664
-,+,-,-,-,-,-,-,-,-,-,-,s5,0.922301637,-0.441662145
-,+,-,-,-,-,-,-,-,-,-,-,s6,1.159812268,-0.405365519
-,+,-,-,-,-,-,-,-,-,-,-,s7,0.912191988,-0.154830826
-,+,-,-,-,-,-,-,-,-,-,-,s8,1.847550018,-0.02676125
-,+,-,-,-,-,-,-,-,-,-,-,s9,0.860732834,-0.503409678
-,+,-,-,-,-,-,-,-,-,-,-,qc,1.132485715,-0.015815704
-,-,+,-,-,-,-,-,-,-,-,-,user,1.025802034,-0.06716982
-,-,+,-,-,-,-,-,-,-,-,-,s0,0.710350789,0.300353286
-,-,+,-,-,-,-,-,-,-,-,-,s2,1.210165723,0.036229939
-,-,+,-,-,-,-,-,-,-,-,-,s3,0.756344209,0.26223465
-,-,+,-,-,-,-,-,-,-,-,-,s4,0.952871923,0.169673652
-,-,+,-,-,-,-,-,-,-,-,-,s5,0.650605098,0.133748937
-,-,+,-,-,-,-,-,-,-,-,-,s6,1.165391046,0.001179577
-,-,+,-,-,-,-,-,-,-,-,-,s7,0.948955529,0.231880578
-,-,+,-,-,-,-,-,-,-,-,-,s8,1.568978132,0.076151248
-,-,+,-,-,-,-,-,-,-,-,-,s9,1.155610642,-0.408229063
-,-,+,-,-,-,-,-,-,-,-,-,qc,0.898099525,-0.029683935
-,-,-,+,-,-,-,-,-,-,-,-,user,1.094814466,-0.032099465
-,-,-,+,-,-,-,-,-,-,-,-,s0,0.742293568,0.129783696
-,-,-,+,-,-,-,-,-,-,-,-,s1,1.837281674,-0.346949696
-,-,-,+,-,-,-,-,-,-,-,-,s3,0.934401049,-0.146243421
-,-,-,+,-,-,-,-,-,-,-,-,s4,0.669539883,0.187127522
-,-,-,+,-,-,-,-,-,-,-,-,s5,0.960019862,-0.123490509
-,-,-,+,-,-,-,-,-,-,-,-,s6,0.752711642,0.246812997
-,-,-,+,-,-,-,-,-,-,-,-,s7,2.425584235,-0.094949026
-,-,-,+,-,-,-,-,-,-,-,-,s8,0.718413077,-0.076771522
-,-,-,+,-,-,-,-,-,-,-,-,s9,1.484014736,-0.085684917
-,-,-,+,-,-,-,-,-,-,-,-,qc,0.949806119,0.040844267
-,-,-,-,+,-,-,-,-,-,-,-,user,1.070889343,-0.001146899
-,-,-,-,+,-,-,-,-,-,-,-,s0,0.839866001,0.014330585
-,-,-,-,+,-,-,-,-,-,-,-,s1,0.73797862,-0.019299785
-,-,-,-,+,-,-,-,-,-,-,-,s2,1.231744501,-0.228610263
-,-,-,-,+,-,-,-,-,-,-,-,s4,1.040314645,0.121805493
-,-,-,-,+,-,-,-,-,-,-,-,s5,0.561684947,0.031842833
-,-,-,-,+,-,-,-,-,-,-,-,s6,1.360566143,-0.030127951
-,-,-,-,+,-,-,-,-,-,-,-,s7,0.513151605,-6.813328666
-,-,-,-,+,-,-,-,-,-,-,-,s8,0.591417218,0.238226235
-,-,-,-,+,-,-,-,-,-,-,-,s9,1.404209903,-0.043693889
-,-,-,-,+,-,-,-,-,-,-,-,qc,0.978283908,-0.220245327
-,-,-,-,-,+,-,-,-,-,-,-,user,1.029273367,-0.044315112
-,-,-,-,-,+,-,-,-,-,-,-,s0,0.94798758,0.089453862
-,-,-,-,-,+,-,-,-,-,-,-,s1,0.693989311,0.308732408
-,-,-,-,-,+,-,-,-,-,-,-,s2,0.860888653,0.154832922
-,-,-,-,-,+,-,-,-,-,-,-,s3,0.896993597,0.158953348
-,-,-,-,-,+,-,-,-,-,-,-,s5,0.632286554,0.21127211
-,-,-,-,-,+,-,-,-,-,-,-,s6,0.6198948,0.253405422
-,-,-,-,-,+,-,-,-,-,-,-,s7,0.497448848,-2.892315704
-,-,-,-,-,+,-,-,-,-,-,-,s8,1.041854603,-0.187355196
-,-,-,-,-,+,-,-,-,-,-,-,s9,2.020699202,-0.144695995
-,-,-,-,-,+,-,-,-,-,-,-,qc,1.303638188,-0.046247864
-,-,-,-,-,-,+,-,-,-,-,-,user,1.189284602,-0.02529403
-,-,-,-,-,-,+,-,-,-,-,-,s0,1.014351992,0.14862788
-,-,-,-,-,-,+,-,-,-,-,-,s1,0.55708324,0.09728892
-,-,-,-,-,-,+,-,-,-,-,-,s2,0.72209501,-0.042511894
-,-,-,-,-,-,+,-,-,-,-,-,s3,0.745987846,0.069791142
-,-,-,-,-,-,+,-,-,-,-,-,s4,0.725896569,0.162017655
-,-,-,-,-,-,+,-,-,-,-,-,s6,0.876579887,0.156765404
-,-,-,-,-,-,+,-,-,-,-,-,s7,0.353191805,-1.763568589
-,-,-,-,-,-,+,-,-,-,-,-,s8,0.533934922,-0.257570392
-,-,-,-,-,-,+,-,-,-,-,-,s9,0.940246079,0.087615293
-,-,-,-,-,-,+,-,-,-,-,-,qc,1.095830914,0.022811046
-,-,-,-,-,-,-,+,-,-,-,-,user,1.16081146,-0.035402904
-,-,-,-,-,-,-,+,-,-,-,-,s0,0.742037967,0.182242983
-,-,-,-,-,-,-,+,-,-,-,-,s1,1.278031151,-0.26659763
-,-,-,-,-,-,-,+,-,-,-,-,s2,0.782027901,-0.060956195
-,-,-,-,-,-,-,+,-,-,-,-,s3,1.382444302,-0.105901139
-,-,-,-,-,-,-,+,-,-,-,-,s4,0.838358657,0.168926701
-,-,-,-,-,-,-,+,-,-,-,-,s5,0.448940826,0.520080323
-,-,-,-,-,-,-,+,-,-,-,-,s7,0.304258563,-1.380687759
-,-,-,-,-,-,-,+,-,-,-,-,s8,0.629951862,-0.14551751
-,-,-,-,-,-,-,+,-,-,-,-,s9,1.229130086,-0.080188833
-,-,-,-,-,-,-,+,-,-,-,-,qc,1.069060709,-0.092242673
-,-,-,-,-,-,-,-,+,-,-,-,user,0.929246635,-0.0580565
-,-,-,-,-,-,-,-,+,-,-,-,s0,0.947803257,0.000188027
-,-,-,-,-,-,-,-,+,-,-,-,s1,0.698829639,0.034772986
-,-,-,-,-,-,-,-,+,-,-,-,s2,1.108173101,-0.028117844
