s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,pred,mse,score,,
-,-,-,-,+,+,-,-,-,+,-,s8,0.240831593,0.771027089,3,-0.773356903
-,-,-,+,+,-,-,-,+,-,+,s9,0.246749654,0.736610032,4,
-,-,-,-,-,-,+,+,+,-,+,s9,0.300791124,0.709253755,4,
-,-,-,-,+,-,+,-,-,+,-,s8,0.281832131,0.705612086,3,
-,-,-,-,-,+,+,+,+,-,+,s9,0.267749943,0.703529104,5,
-,-,-,+,+,-,-,+,-,-,+,s9,0.346058505,0.680335901,4,
-,-,-,-,-,-,+,+,+,-,-,s9,0.435940445,0.668296519,3,
-,-,-,+,-,+,-,-,+,-,-,s9,0.2688148,0.667624191,3,
-,-,-,-,-,-,-,-,+,-,-,s9,0.287713666,0.665182783,1,
-,-,-,-,+,+,+,-,-,+,+,s8,0.391690705,0.660578301,5,
-,-,+,-,-,-,-,-,+,-,+,s9,0.451345864,0.659196231,3,
-,-,-,-,+,-,-,-,+,-,-,s9,0.361205725,0.656726995,2,
-,-,-,-,-,+,-,+,-,+,+,s8,0.294816938,0.655243738,4,
-,-,-,-,-,+,+,+,-,+,+,s8,0.426565518,0.654017576,5,
-,-,-,+,-,+,-,+,-,-,+,s9,0.310564202,0.651242247,4,
-,-,-,-,-,+,-,-,+,-,-,s9,0.260962542,0.651170929,2,
-,-,-,+,+,-,+,-,+,-,-,s9,0.287777864,0.650368716,4,
-,-,+,-,-,-,-,+,-,+,-,s8,0.404768136,0.646071739,3,
-,-,+,-,+,-,-,-,-,+,-,s8,0.389198755,0.643556921,3,
-,-,-,-,+,+,-,+,-,+,+,s8,0.374116672,0.63897628,5,
-,-,-,-,-,-,+,-,+,+,+,s3,0.248605471,0.637254559,4,
-,-,-,+,-,+,+,-,+,-,-,s9,0.295829985,0.634221291,4,
-,-,+,+,-,-,-,-,+,-,-,s9,0.345519601,0.628842812,3,
-,-,+,-,-,-,-,+,-,-,+,s9,0.438672435,0.627272528,3,
-,-,-,-,-,-,-,+,+,-,-,s9,0.256863647,0.624975567,2,
-,-,-,-,-,+,-,+,-,+,-,s8,0.433978248,0.622239811,3,
-,+,-,-,-,-,-,-,+,-,-,s9,0.381630304,0.619973342,2,
-,-,-,+,-,-,+,-,-,+,+,s8,0.362676453,0.617025842,4,
-,-,-,+,-,-,-,-,+,-,+,s4,0.417291806,0.613024485,3,
-,-,-,-,+,+,+,+,-,+,-,s8,0.53382807,0.609619954,5,
-,-,+,-,-,+,-,-,-,-,+,s4,0.358214851,0.606723674,3,
-,-,-,+,+,-,-,-,-,+,-,s8,0.299879959,0.603765061,3,
-,-,-,+,-,-,+,-,-,+,+,s4,0.448064729,0.603267457,4,
-,-,-,-,+,+,-,+,-,+,-,s8,0.475511903,0.602212975,4,
-,-,-,-,-,+,+,-,-,+,+,s8,0.421495771,0.60073223,4,
-,-,-,+,-,-,-,-,-,+,+,s8,0.383116458,0.59818651,3,
-,-,-,-,-,-,+,+,-,+,-,s8,0.501391148,0.593327362,3,
-,-,+,-,-,+,-,-,-,+,-,s8,0.390253696,0.592360278,3,
-,-,-,+,-,-,-,-,+,-,+,s7,0.431659503,0.59143731,3,
-,-,+,-,-,-,+,-,-,+,-,s8,0.431505982,0.591249918,3,
-,-,-,-,-,+,+,-,+,-,+,s9,0.462375926,0.584529817,4,
-,+,-,-,-,-,-,-,-,+,-,s8,0.481060671,0.583134274,2,
-,-,-,-,+,-,+,-,-,+,+,s8,0.520332435,0.58278006,4,
-,-,-,-,+,-,+,-,+,-,+,s9,0.460397301,0.580914494,4,
-,-,-,+,-,-,-,-,+,-,-,s9,0.370849034,0.572211366,2,
-,-,-,-,+,+,-,-,-,+,+,s8,0.326047951,0.572114695,4,
-,-,-,-,+,-,+,+,-,-,+,s9,0.435102016,0.571400645,4,
-,-,-,-,+,-,-,+,+,-,-,s9,0.51953202,0.56965814,3,
-,-,-,-,+,-,-,-,+,-,+,s9,0.356138777,0.56907894,3,
-,-,-,-,-,-,-,-,-,+,+,s8,0.371888031,0.567082329,2,
-,-,-,-,+,+,+,-,+,-,-,s9,0.547438513,0.565638607,4,
-,-,-,-,+,-,+,-,-,-,+,s5,0.386087885,0.559586657,3,
-,-,-,-,-,+,-,-,-,+,+,s8,0.565100657,0.547352954,3,
-,-,-,+,-,-,+,+,-,+,-,s8,0.446885205,0.541264667,4,
-,-,+,-,-,-,+,-,+,-,-,s7,0.430786,0.538642554,3,
-,-,-,-,+,+,+,-,-,+,-,s8,0.473649152,0.537733125,4,
-,-,+,-,-,-,-,-,-,+,-,s8,0.429054589,0.536808351,2,
-,-,-,+,+,-,+,-,-,+,-,s8,0.44604467,0.534712551,4,
-,-,-,-,+,+,-,-,-,+,+,s7,0.653325264,0.533944842,4,
-,-,-,+,-,-,+,-,+,-,-,s9,0.350293463,0.52588914,3,
-,-,-,-,-,+,-,-,+,+,+,s4,0.589195655,0.518435463,4,
-,-,-,-,+,-,+,-,-,+,-,s2,0.465820437,0.517390098,3,
