s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,qc,c,pred,mse,score
n,n,n,y,n,n,n,y,y,n,y,n,s9,0.1343171,0.855716559
n,n,n,n,y,y,n,n,n,y,y,y,s8,0.188778978,0.713320236
n,n,n,n,y,y,n,n,n,y,n,y,s8,0.223445265,0.764049302
n,n,n,y,n,n,n,n,y,y,y,n,s4,0.248991086,0.708061739
n,n,n,y,y,n,n,y,n,y,n,n,s8,0.277999874,0.735688996
n,n,n,n,y,n,n,n,y,n,n,n,s9,0.284727629,0.621110804
n,n,y,n,n,y,n,n,y,n,n,n,s9,0.292666411,0.707582133
n,n,n,n,n,y,y,y,n,y,y,y,s8,0.307749062,0.641746988
n,n,n,n,y,y,n,y,n,y,y,n,s8,0.308240674,0.671365517
n,n,n,y,n,n,y,y,n,n,n,y,s5,0.308856354,0.579895683
n,n,n,n,y,y,n,y,n,y,n,y,s8,0.313147965,0.636010262
n,n,n,n,n,n,n,y,n,y,y,y,s8,0.321514196,0.664162162
n,n,n,n,y,y,n,n,n,y,y,n,s8,0.325498028,0.716986083
n,n,n,n,y,y,n,n,y,n,y,n,s9,0.326442473,0.668533523
n,n,n,n,n,y,y,y,y,n,n,n,s9,0.331387403,0.450623046
n,n,n,y,y,n,y,n,n,y,n,n,s8,0.331482435,0.684839946
n,n,n,n,n,y,y,n,n,y,y,y,s8,0.331838047,0.730849948
n,n,n,y,n,y,n,n,y,n,n,y,s9,0.333365067,0.686945119
n,n,n,n,y,n,n,y,n,y,y,y,s8,0.338229001,0.55537415
n,n,n,n,n,y,n,n,y,y,n,y,s7,0.338628036,0.557198136
n,n,n,n,y,n,n,y,n,y,y,n,s8,0.339765289,0.672125468
n,n,n,n,y,n,n,y,y,n,y,n,s9,0.340173057,0.547836066
n,n,n,y,y,n,n,n,y,n,y,n,s9,0.341833713,0.621498529
n,n,n,y,n,y,y,n,n,y,n,n,s8,0.342450317,0.64083726
n,n,y,y,n,n,n,n,y,n,n,n,s9,0.342456468,0.58563427
n,n,n,n,n,n,n,n,n,y,y,n,s8,0.343935883,0.674600693
n,n,n,n,n,y,n,y,n,y,n,y,s8,0.343941794,0.659595644
n,n,n,y,n,n,n,y,n,y,y,n,s8,0.345593621,0.657960805
n,n,n,n,n,n,y,y,n,y,y,y,s8,0.349536076,0.635384615
